===== BUILD HG 3m START 2026-05-04T10:12:51.7319492-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=61 root=HG symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/61] 15m HGF2 affected=167 deleted=0
[2/61] 15m HGF3 affected=136 deleted=0
[3/61] 15m HGF4 affected=132 deleted=0
[4/61] 15m HGF5 affected=138 deleted=0
[5/61] 15m HGF6 affected=148 deleted=0
[6/61] 15m HGG2 affected=133 deleted=0
[7/61] 15m HGG3 affected=100 deleted=0
[8/61] 15m HGG4 affected=104 deleted=0
[9/61] 15m HGG5 affected=82 deleted=0
[10/61] 15m HGG6 affected=164 deleted=0
[11/61] 15m HGH2 affected=566 deleted=0
[12/61] 15m HGH3 affected=489 deleted=0
[13/61] 15m HGH4 affected=468 deleted=0
[14/61] 15m HGH5 affected=486 deleted=0
[15/61] 15m HGH6 affected=422 deleted=0
[16/61] 15m HGJ1 affected=9 deleted=0
[17/61] 15m HGJ2 affected=133 deleted=0
[18/61] 15m HGJ3 affected=129 deleted=0
[19/61] 15m HGJ4 affected=101 deleted=0
[20/61] 15m HGJ5 affected=169 deleted=0
[21/61] 15m HGJ6 affected=91 deleted=0
[22/61] 15m HGK1 affected=568 deleted=0
[23/61] 15m HGK2 affected=460 deleted=0
[24/61] 15m HGK3 affected=447 deleted=0
[25/61] 15m HGK4 affected=508 deleted=0
[26/61] 15m HGK5 affected=468 deleted=0
[27/61] 15m HGM1 affected=149 deleted=0
[28/61] 15m HGM2 affected=148 deleted=0
[29/61] 15m HGM3 affected=135 deleted=0
[30/61] 15m HGM4 affected=143 deleted=0
[31/61] 15m HGM5 affected=193 deleted=0
[32/61] 15m HGN1 affected=522 deleted=0
[33/61] 15m HGN2 affected=429 deleted=0
[34/61] 15m HGN3 affected=341 deleted=0
[35/61] 15m HGN4 affected=396 deleted=0
[36/61] 15m HGN5 affected=386 deleted=0
[37/61] 15m HGQ1 affected=125 deleted=0
[38/61] 15m HGQ2 affected=107 deleted=0
[39/61] 15m HGQ3 affected=157 deleted=0
[40/61] 15m HGQ4 affected=110 deleted=0
[41/61] 15m HGQ5 affected=159 deleted=0
[42/61] 15m HGU1 affected=671 deleted=0
[43/61] 15m HGU2 affected=452 deleted=0
[44/61] 15m HGU3 affected=376 deleted=0
[45/61] 15m HGU4 affected=371 deleted=0
[46/61] 15m HGU5 affected=324 deleted=0
[47/61] 15m HGV1 affected=115 deleted=0
[48/61] 15m HGV2 affected=123 deleted=0
