===== BUILD ZM 3m START 2026-05-04T20:09:34.9541830-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[30/41] 15m ZMU4 affected=824 deleted=0
[31/41] 15m ZMU5 affected=741 deleted=0
[32/41] 15m ZMV1 affected=807 deleted=0
[33/41] 15m ZMV2 affected=821 deleted=0
[34/41] 15m ZMV3 affected=770 deleted=0
[35/41] 15m ZMV4 affected=778 deleted=0
[36/41] 15m ZMV5 affected=806 deleted=0
[37/41] 15m ZMZ1 affected=2300 deleted=0
[38/41] 15m ZMZ2 affected=2233 deleted=0
[39/41] 15m ZMZ3 affected=2417 deleted=0
[40/41] 15m ZMZ4 affected=2336 deleted=0
[41/41] 15m ZMZ5 affected=2291 deleted=0
Done. table=futures_contract_15m_candles timeframe=15m symbols=41 affected=62341 deleted=0
Building futures_contract_30m_candles from futures_contract_1m_candles: timeframe=30m minutes=30 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 30m ZMF2 affected=491 deleted=0
[2/41] 30m ZMF3 affected=452 deleted=0
[3/41] 30m ZMF4 affected=387 deleted=0
[4/41] 30m ZMF5 affected=398 deleted=0
[5/41] 30m ZMF6 affected=428 deleted=0
[6/41] 30m ZMH2 affected=1097 deleted=0
[7/41] 30m ZMH3 affected=1218 deleted=0
[8/41] 30m ZMH4 affected=1198 deleted=0
[9/41] 30m ZMH5 affected=1154 deleted=0
[10/41] 30m ZMH6 affected=1125 deleted=0
[11/41] 30m ZMK1 affected=227 deleted=0
[12/41] 30m ZMK2 affected=1252 deleted=0
[13/41] 30m ZMK3 affected=1200 deleted=0
[14/41] 30m ZMK4 affected=1214 deleted=0
[15/41] 30m ZMK5 affected=1185 deleted=0
[16/41] 30m ZMK6 affected=1007 deleted=0
[17/41] 30m ZMN1 affected=1196 deleted=0
[18/41] 30m ZMN2 affected=1229 deleted=0
[19/41] 30m ZMN3 affected=1225 deleted=0
[20/41] 30m ZMN4 affected=1221 deleted=0
[21/41] 30m ZMN5 affected=1147 deleted=0
[22/41] 30m ZMQ1 affected=469 deleted=0
[23/41] 30m ZMQ2 affected=466 deleted=0
[24/41] 30m ZMQ3 affected=475 deleted=0
[25/41] 30m ZMQ4 affected=549 deleted=0
[26/41] 30m ZMQ5 affected=473 deleted=0
[27/41] 30m ZMU1 affected=499 deleted=0
[28/41] 30m ZMU2 affected=513 deleted=0
[29/41] 30m ZMU3 affected=508 deleted=0
[30/41] 30m ZMU4 affected=456 deleted=0
[31/41] 30m ZMU5 affected=402 deleted=0
[32/41] 30m ZMV1 affected=467 deleted=0
[33/41] 30m ZMV2 affected=466 deleted=0
[34/41] 30m ZMV3 affected=438 deleted=0
[35/41] 30m ZMV4 affected=435 deleted=0
[36/41] 30m ZMV5 affected=449 deleted=0
[37/41] 30m ZMZ1 affected=1207 deleted=0
[38/41] 30m ZMZ2 affected=1161 deleted=0
[39/41] 30m ZMZ3 affected=1271 deleted=0
[40/41] 30m ZMZ4 affected=1213 deleted=0
[41/41] 30m ZMZ5 affected=1204 deleted=0
Done. table=futures_contract_30m_candles timeframe=30m symbols=41 affected=33172 deleted=0
Building futures_contract_1h_candles from futures_contract_1m_candles: timeframe=1h minutes=60 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 1h ZMF2 affected=281 deleted=0
[2/41] 1h ZMF3 affected=262 deleted=0
[3/41] 1h ZMF4 affected=221 deleted=0
[4/41] 1h ZMF5 affected=232 deleted=0
[5/41] 1h ZMF6 affected=250 deleted=0
[6/41] 1h ZMH2 affected=598 deleted=0
[7/41] 1h ZMH3 affected=673 deleted=0
[8/41] 1h ZMH4 affected=655 deleted=0
[9/41] 1h ZMH5 affected=631 deleted=0
[10/41] 1h ZMH6 affected=613 deleted=0
[11/41] 1h ZMK1 affected=145 deleted=0
[12/41] 1h ZMK2 affected=685 deleted=0
[13/41] 1h ZMK3 affected=652 deleted=0
[14/41] 1h ZMK4 affected=665 deleted=0
[15/41] 1h ZMK5 affected=643 deleted=0
[16/41] 1h ZMK6 affected=532 deleted=0
[17/41] 1h ZMN1 affected=652 deleted=0
[18/41] 1h ZMN2 affected=672 deleted=0
[19/41] 1h ZMN3 affected=660 deleted=0
[20/41] 1h ZMN4 affected=667 deleted=0
[21/41] 1h ZMN5 affected=625 deleted=0
[22/41] 1h ZMQ1 affected=271 deleted=0
[23/41] 1h ZMQ2 affected=275 deleted=0
[24/41] 1h ZMQ3 affected=275 deleted=0
[25/41] 1h ZMQ4 affected=311 deleted=0
[26/41] 1h ZMQ5 affected=273 deleted=0
[27/41] 1h ZMU1 affected=289 deleted=0
[28/41] 1h ZMU2 affected=294 deleted=0
[29/41] 1h ZMU3 affected=287 deleted=0
[30/41] 1h ZMU4 affected=266 deleted=0
[31/41] 1h ZMU5 affected=226 deleted=0
[32/41] 1h ZMV1 affected=276 deleted=0
[33/41] 1h ZMV2 affected=269 deleted=0
[34/41] 1h ZMV3 affected=254 deleted=0
[35/41] 1h ZMV4 affected=246 deleted=0
[36/41] 1h ZMV5 affected=259 deleted=0
[37/41] 1h ZMZ1 affected=661 deleted=0
[38/41] 1h ZMZ2 affected=634 deleted=0
[39/41] 1h ZMZ3 affected=698 deleted=0
[40/41] 1h ZMZ4 affected=658 deleted=0
[41/41] 1h ZMZ5 affected=660 deleted=0
Done. table=futures_contract_1h_candles timeframe=1h symbols=41 affected=18396 deleted=0
Building futures_contract_4h_candles from futures_contract_1m_candles: timeframe=4h minutes=240 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 4h ZMF2 affected=86 deleted=0
[2/41] 4h ZMF3 affected=80 deleted=0
[3/41] 4h ZMF4 affected=69 deleted=0
[4/41] 4h ZMF5 affected=74 deleted=0
[5/41] 4h ZMF6 affected=78 deleted=0
[6/41] 4h ZMH2 affected=170 deleted=0
[7/41] 4h ZMH3 affected=190 deleted=0
[8/41] 4h ZMH4 affected=182 deleted=0
[9/41] 4h ZMH5 affected=181 deleted=0
[10/41] 4h ZMH6 affected=176 deleted=0
[11/41] 4h ZMK1 affected=52 deleted=0
[12/41] 4h ZMK2 affected=190 deleted=0
[13/41] 4h ZMK3 affected=184 deleted=0
[14/41] 4h ZMK4 affected=186 deleted=0
[15/41] 4h ZMK5 affected=183 deleted=0
[16/41] 4h ZMK6 affected=140 deleted=0
[17/41] 4h ZMN1 affected=184 deleted=0
[18/41] 4h ZMN2 affected=189 deleted=0
[19/41] 4h ZMN3 affected=182 deleted=0
[20/41] 4h ZMN4 affected=186 deleted=0
[21/41] 4h ZMN5 affected=176 deleted=0
[22/41] 4h ZMQ1 affected=83 deleted=0
[23/41] 4h ZMQ2 affected=86 deleted=0
[24/41] 4h ZMQ3 affected=87 deleted=0
[25/41] 4h ZMQ4 affected=96 deleted=0
[26/41] 4h ZMQ5 affected=82 deleted=0
[27/41] 4h ZMU1 affected=88 deleted=0
[28/41] 4h ZMU2 affected=91 deleted=0
[29/41] 4h ZMU3 affected=90 deleted=0
[30/41] 4h ZMU4 affected=84 deleted=0
[31/41] 4h ZMU5 affected=70 deleted=0
[32/41] 4h ZMV1 affected=87 deleted=0
[33/41] 4h ZMV2 affected=87 deleted=0
[34/41] 4h ZMV3 affected=79 deleted=0
[35/41] 4h ZMV4 affected=79 deleted=0
[36/41] 4h ZMV5 affected=83 deleted=0
[37/41] 4h ZMZ1 affected=187 deleted=0
[38/41] 4h ZMZ2 affected=180 deleted=0
[39/41] 4h ZMZ3 affected=196 deleted=0
[40/41] 4h ZMZ4 affected=186 deleted=0
[41/41] 4h ZMZ5 affected=184 deleted=0
Done. table=futures_contract_4h_candles timeframe=4h symbols=41 affected=5343 deleted=0
Building futures_contract_12h_candles from futures_contract_1m_candles: timeframe=12h minutes=720 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 12h ZMF2 affected=41 deleted=0
[2/41] 12h ZMF3 affected=37 deleted=0
[3/41] 12h ZMF4 affected=32 deleted=0
[4/41] 12h ZMF5 affected=33 deleted=0
[5/41] 12h ZMF6 affected=36 deleted=0
[6/41] 12h ZMH2 affected=73 deleted=0
[7/41] 12h ZMH3 affected=79 deleted=0
[8/41] 12h ZMH4 affected=77 deleted=0
[9/41] 12h ZMH5 affected=78 deleted=0
[10/41] 12h ZMH6 affected=76 deleted=0
[11/41] 12h ZMK1 affected=24 deleted=0
[12/41] 12h ZMK2 affected=80 deleted=0
[13/41] 12h ZMK3 affected=78 deleted=0
[14/41] 12h ZMK4 affected=79 deleted=0
[15/41] 12h ZMK5 affected=78 deleted=0
[16/41] 12h ZMK6 affected=56 deleted=0
[17/41] 12h ZMN1 affected=77 deleted=0
[18/41] 12h ZMN2 affected=79 deleted=0
[19/41] 12h ZMN3 affected=78 deleted=0
[20/41] 12h ZMN4 affected=77 deleted=0
[21/41] 12h ZMN5 affected=76 deleted=0
[22/41] 12h ZMQ1 affected=40 deleted=0
[23/41] 12h ZMQ2 affected=39 deleted=0
[24/41] 12h ZMQ3 affected=40 deleted=0
[25/41] 12h ZMQ4 affected=43 deleted=0
[26/41] 12h ZMQ5 affected=36 deleted=0
[27/41] 12h ZMU1 affected=38 deleted=0
[28/41] 12h ZMU2 affected=41 deleted=0
[29/41] 12h ZMU3 affected=39 deleted=0
[30/41] 12h ZMU4 affected=38 deleted=0
[31/41] 12h ZMU5 affected=32 deleted=0
[32/41] 12h ZMV1 affected=42 deleted=0
[33/41] 12h ZMV2 affected=39 deleted=0
[34/41] 12h ZMV3 affected=35 deleted=0
[35/41] 12h ZMV4 affected=38 deleted=0
[36/41] 12h ZMV5 affected=36 deleted=0
[37/41] 12h ZMZ1 affected=79 deleted=0
[38/41] 12h ZMZ2 affected=76 deleted=0
[39/41] 12h ZMZ3 affected=81 deleted=0
[40/41] 12h ZMZ4 affected=80 deleted=0
[41/41] 12h ZMZ5 affected=79 deleted=0
Done. table=futures_contract_12h_candles timeframe=12h symbols=41 affected=2315 deleted=0
Building futures_contract_1d_candles from futures_contract_1m_candles: timeframe=1d minutes=1440 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 1d ZMF2 affected=22 deleted=0
[2/41] 1d ZMF3 affected=20 deleted=0
[3/41] 1d ZMF4 affected=19 deleted=0
[4/41] 1d ZMF5 affected=19 deleted=0
[5/41] 1d ZMF6 affected=20 deleted=0
[6/41] 1d ZMH2 affected=39 deleted=0
[7/41] 1d ZMH3 affected=40 deleted=0
[8/41] 1d ZMH4 affected=41 deleted=0
[9/41] 1d ZMH5 affected=40 deleted=0
[10/41] 1d ZMH6 affected=39 deleted=0
[11/41] 1d ZMK1 affected=14 deleted=0
[12/41] 1d ZMK2 affected=42 deleted=0
[13/41] 1d ZMK3 affected=42 deleted=0
[14/41] 1d ZMK4 affected=42 deleted=0
[15/41] 1d ZMK5 affected=40 deleted=0
[16/41] 1d ZMK6 affected=28 deleted=0
[17/41] 1d ZMN1 affected=40 deleted=0
[18/41] 1d ZMN2 affected=41 deleted=0
[19/41] 1d ZMN3 affected=42 deleted=0
[20/41] 1d ZMN4 affected=40 deleted=0
[21/41] 1d ZMN5 affected=38 deleted=0
[22/41] 1d ZMQ1 affected=21 deleted=0
[23/41] 1d ZMQ2 affected=20 deleted=0
[24/41] 1d ZMQ3 affected=21 deleted=0
[25/41] 1d ZMQ4 affected=23 deleted=0
[26/41] 1d ZMQ5 affected=21 deleted=0
[27/41] 1d ZMU1 affected=20 deleted=0
[28/41] 1d ZMU2 affected=22 deleted=0
[29/41] 1d ZMU3 affected=21 deleted=0
[30/41] 1d ZMU4 affected=20 deleted=0
[31/41] 1d ZMU5 affected=19 deleted=0
[32/41] 1d ZMV1 affected=22 deleted=0
[33/41] 1d ZMV2 affected=21 deleted=0
[34/41] 1d ZMV3 affected=19 deleted=0
[35/41] 1d ZMV4 affected=20 deleted=0
[36/41] 1d ZMV5 affected=20 deleted=0
[37/41] 1d ZMZ1 affected=42 deleted=0
[38/41] 1d ZMZ2 affected=41 deleted=0
